epoch,train_loss,val_acc,val_f1,lr
1,1.3510613940971,0.8927835051546392,0.8943960732685025,9.990232305719944e-06
2,0.7414250322420832,0.9278350515463918,0.9303491946955443,9.960967771506666e-06
3,0.7909860783059832,0.9257731958762887,0.9285922475566247,9.91232189110701e-06
4,0.5893250118258974,0.9278350515463918,0.9332216250510433,9.844486647586724e-06
5,0.5469002267214614,0.931958762886598,0.9368367173711807,9.757729755661012e-06
6,0.687229370357285,0.9443298969072165,0.949421005593479,9.652393605146846e-06
7,0.5439949491074387,0.9443298969072165,0.9476108435163554,9.5288939097068e-06
8,0.443099427810857,0.9443298969072165,0.9487853125431917,9.387718066217127e-06
9,0.43593784222300624,0.9484536082474226,0.95235491164436,9.229423231234976e-06
10,0.520878900996816,0.9567010309278351,0.958908505540581,9.054634122155991e-06
11,0.36742652198430936,0.9587628865979382,0.9619008487095361,8.864040551740158e-06
12,0.4093599554518579,0.9587628865979382,0.9618915061513884,8.658394705735988e-06
13,0.3728078093747018,0.9670103092783505,0.9697257152106814,8.43850817434701e-06
14,0.4013630084063805,0.9567010309278351,0.9607120899129457,8.205248749256014e-06
15,0.3443571929098435,0.9587628865979382,0.9625489776678448,7.959536998847744e-06
16,0.3119366772105576,0.9752577319587629,0.9773900256104744,7.702342635146033e-06
17,0.3282358062676561,0.9752577319587629,0.9773990397263878,7.434680686803491e-06
18,0.4377531501215319,0.9690721649484536,0.9714789583233454,7.15760749324711e-06
19,0.2292939913512411,0.9670103092783505,0.969702292783274,6.8722165357891564e-06
20,0.26344686591814104,0.9690721649484536,0.9720237496118562,6.579634122155989e-06
21,0.23806129375630072,0.9690721649484536,0.9714024287684596,6.28101494146603e-06
22,0.305831387179943,0.977319587628866,0.9797741803209611,5.977537507199338e-06
23,0.30867684948664736,0.9731958762886598,0.9743697813988249,5.6703995061433075e-06
24,0.3451900553560002,0.9814432989690721,0.9821468372444099,5.360813071670102e-06
25,0.2493554447698866,0.977319587628866,0.9797733190345236,5.050000000000001e-06
26,0.39290190804389,0.9752577319587629,0.9773430286241921,4.739186928329899e-06
27,0.42047547874316366,0.9752577319587629,0.9773492572121816,4.429600493856695e-06
28,0.34492309031430896,0.9752577319587629,0.9779875549214113,4.122462492800664e-06
29,0.2676310868348441,0.9711340206185567,0.9732124978293415,3.8189850585339696e-06
30,0.20926268908693652,0.9731958762886598,0.9762026916377421,3.520365877844013e-06
31,0.3570838084405052,0.9731958762886598,0.9762026916377421,3.2277834642108464e-06
32,0.20974283551626746,0.9731958762886598,0.9762020344511652,2.942392506752891e-06
33,0.3495638383721316,0.9752577319587629,0.97798836540015,2.665319313196509e-06
34,0.2060635725731476,0.977319587628866,0.9797741803209611,2.3976573648539658e-06
